Nr,Beschreibung,Stück,Länge,Breite,Höhe
60,Feuerkorb Seitlich - Vierkantrohr,16,287,20,20
61,Feuerkorb Unten - Vierkantrohr ,8,344,20,20
62,Fillets Vorne und Hinten - Vierkantrohr ,8,267,20,20
63,Flachstahl lang ,4,700,20,3
64,Flachstahl kurz ,2,350,20,3
64,Winkelprofil - Fixierung ,2,344,30,30
